sample_idx,closest_family,real_label,pred_label,min_distance,min_anomaly_score
1,0,0,0,0.012689560651779175,6.8812969517247735
16,0,0,0,0.006049334071576595,4.39468839031809
24,0,0,0,0.01290516834706068,7.247427411621179
38,0,0,0,0.012799764052033424,7.068436940232861
41,0,0,0,0.006226908415555954,4.093143604812738
44,0,0,0,0.013501521199941635,8.260113642512707
46,0,0,0,0.014547840692102909,10.036902900258836
48,0,0,0,0.014899944886565208,10.634822517560144
63,0,0,0,0.014289680868387222,9.598513283133205
70,0,0,0,0.011126969009637833,4.227809116698681
71,0,0,0,0.016057461500167847,12.600439234174692
83,0,0,0,0.011469394899904728,4.809293689965711
95,0,0,0,0.021229928359389305,21.383973919673977
96,0,0,0,0.012431885115802288,6.443729719404552
102,0,0,0,0.012597397901117802,6.7247923787274635
105,0,0,0,0.0126809012144804,6.86659207880034
111,0,0,0,0.013121457770466805,7.614715536282122
112,0,0,0,0.014783396385610104,10.43690770659194
114,0,0,0,0.012787863612174988,7.048228415149143
115,0,0,0,0.014732161536812782,10.34990413870725
126,0,0,0,0.012860479764640331,7.171540272192699
137,0,0,0,0.0026392049621790648,10.185539464781307
139,0,0,0,0.006380543578416109,3.8322507235971357
147,0,0,0,0.012855814769864082,7.16361849240366
150,0,0,0,0.012617170810699463,6.7583694014268225
154,0,0,0,0.011158508248627186,4.281366927151028
159,0,0,0,0.011128927581012249,4.231135030632869
165,0,0,0,0.01468383427709341,10.267838042673505
171,0,0,0,0.014134607277810574,9.335177760894608
174,0,0,0,0.006484119687229395,3.6563647548492413
175,0,0,0,0.012556171976029873,6.654785290657667
176,0,0,0,0.011212476529181004,4.373012224658563
178,0,0,0,0.01144558284431696,4.768857661687381
188,0,0,0,0.00520906038582325,5.821584543546946
194,0,0,0,0.004899762105196714,6.346814042350806
206,0,0,0,0.013310108333826065,7.935069211192754
208,0,0,0,0.015342658385634422,11.386608750444484
210,0,0,0,0.02124597690999508,21.411226486917883
215,0,0,0,0.012460283935070038,6.491954680695662
217,0,0,0,0.01287013664841652,7.187938941514429
219,0,0,0,0.014803827740252018,10.47160285632481
220,0,0,0,0.014620340429246426,10.160017068647246
231,0,0,0,0.0026390408165752888,10.185818601162374
236,0,0,0,0.011619152501225471,5.0636019574556865
242,0,0,0,0.01324930228292942,7.831812472836521
246,0,0,0,0.01259292010217905,6.7171884822959
253,0,0,0,0.011184072121977806,4.324777774312006
