sample_idx,real_label,pred_label,pred_prob
15385,0,1,0.6173758506774902
26961,0,1,0.6368305683135986
66204,0,1,0.5641705393791199
116083,3,0,0.9966778755187988
116084,3,0,0.9966756105422974
116085,3,0,0.9967226386070251
116086,3,0,0.9969568252563477
116087,3,0,0.9968723654747009
116088,3,0,0.9967283010482788
116089,3,0,0.9969839453697205
116090,3,0,0.9967520236968994
116091,3,0,0.9968435764312744
116092,3,0,0.9969637989997864
116093,3,0,0.9966095685958862
116094,3,0,0.9967173933982849
116095,3,0,0.996716320514679
116096,3,0,0.996916651725769
116097,3,0,0.9967791438102722
116098,3,0,0.9969808459281921
116099,3,0,0.9967055916786194
116100,3,0,0.9968746900558472
116101,3,0,0.996775209903717
116102,3,0,0.9970232844352722
116103,3,0,0.9968716502189636
116104,3,0,0.9967153072357178
116105,3,0,0.996799111366272
116106,3,0,0.9969155788421631
116107,3,0,0.9967880249023438
116108,3,0,0.996777355670929
116109,3,0,0.9966979026794434
116110,3,0,0.9968296885490417
116111,3,0,0.9968034029006958
116112,3,0,0.9968008995056152
116113,3,0,0.9969407320022583
116114,3,0,0.9969749450683594
116115,3,0,0.9969093203544617
116116,3,0,0.9967250227928162
116117,3,0,0.9966944456100464
116118,3,0,0.9968560934066772
116119,3,0,0.996775209903717
116120,3,0,0.9966565370559692
116121,3,0,0.9967535138130188
116122,3,0,0.9967164397239685
116123,3,0,0.9966059923171997
116124,3,0,0.9968589544296265
116125,3,0,0.9969101548194885
116126,3,0,0.9966027736663818
116127,3,0,0.9967014193534851
116128,3,0,0.9968157410621643
116129,3,0,0.9966626763343811
116130,3,0,0.9965277314186096
116131,3,0,0.9969792366027832
116132,3,0,0.9968728423118591
116133,3,0,0.9969437718391418
116134,3,0,0.9967778325080872
116135,3,0,0.9968388080596924
116136,3,0,0.9967377781867981
116137,3,0,0.996747612953186
116138,3,0,0.9968655705451965
116139,3,0,0.9968960285186768
116140,3,0,0.9966877102851868
116141,3,0,0.9967218041419983
116142,3,0,0.9965985417366028
116143,3,0,0.9968979358673096
116144,3,0,0.9969422221183777
116145,3,0,0.9965368509292603
116146,3,0,0.9967830181121826
116147,3,0,0.9969107508659363
116148,3,0,0.9967519044876099
116149,3,0,0.9965261816978455
116150,3,0,0.996908962726593
116151,3,0,0.9968194961547852
116152,3,0,0.9969474673271179
116153,3,0,0.9966427087783813
116154,3,0,0.9968670010566711
116155,3,0,0.9967097043991089
116156,3,0,0.9968156218528748
116157,3,0,0.9968906044960022
116158,3,0,0.9966297745704651
116159,3,0,0.9969192743301392
116160,3,0,0.9968104958534241
116161,3,0,0.9967525005340576
116162,3,0,0.9967215657234192
116163,3,0,0.9967648983001709
116164,3,0,0.9970225691795349
116165,3,0,0.9967143535614014
116166,3,0,0.996664822101593
116167,3,0,0.9968318343162537
116168,3,0,0.9967323541641235
116169,3,0,0.9969146251678467
116170,3,0,0.9966956377029419
116171,3,0,0.996845006942749
116172,3,0,0.9966539144515991
116173,3,0,0.996834933757782
116174,3,0,0.9967832565307617
116175,3,0,0.9967932105064392
116176,3,0,0.9968774318695068
116177,3,0,0.9969149827957153
116178,3,0,0.9968504309654236
116179,3,0,0.996807873249054
116180,3,0,0.996941864490509
116181,3,0,0.9969135522842407
116182,3,0,0.9965736865997314
116183,3,0,0.9967159032821655
116184,3,0,0.9970059990882874
116185,3,0,0.9968731999397278
116186,3,0,0.9967883825302124
116187,3,0,0.9967633485794067
116188,3,0,0.9966065883636475
116189,3,0,0.9967057108879089
116190,3,0,0.9968048334121704
116191,3,0,0.9966099858283997
116192,3,0,0.9969307780265808
116193,3,0,0.9969831109046936
116194,3,0,0.9969503283500671
116195,3,0,0.9969655871391296
116196,3,0,0.9967004656791687
116197,3,0,0.9969786405563354
116198,3,0,0.9965047836303711
116199,3,0,0.9968786239624023
116200,3,0,0.9968380928039551
116201,3,0,0.9967622756958008
116202,3,0,0.996729850769043
116203,3,0,0.9969199895858765
116204,3,0,0.9967436790466309
116205,3,0,0.9968217611312866
116206,3,0,0.9967646598815918
116207,3,0,0.9967215657234192
116208,3,0,0.9966631531715393
116209,3,0,0.9968768358230591
116210,3,0,0.9966963529586792
116211,3,0,0.9966707825660706
116212,3,0,0.9969434142112732
116213,3,0,0.9967119693756104
116214,3,0,0.9968957901000977
116215,3,0,0.9968886971473694
116216,3,0,0.9967893362045288
116217,3,0,0.9968491196632385
116218,3,0,0.9966779947280884
116219,3,0,0.9969004392623901
116220,3,0,0.9966104626655579
116221,3,0,0.9967677593231201
116222,3,0,0.9966326355934143
116223,3,0,0.9968013763427734
116224,3,0,0.9967875480651855
116225,3,0,0.9968435764312744
116226,3,0,0.9969616532325745
116227,3,0,0.9968647360801697
116228,3,0,0.9968606233596802
116229,3,0,0.996690034866333
116230,3,0,0.9967023730278015
116231,3,0,0.9943681359291077
116232,3,0,0.9967846870422363
116233,3,0,0.9969815611839294
116234,3,0,0.9969151020050049
116235,3,0,0.996677041053772
116236,3,0,0.9967581629753113
116237,3,0,0.9968000650405884
116238,3,0,0.9966110587120056
116239,3,0,0.996721088886261
116240,3,0,0.9966721534729004
116241,3,0,0.9969868063926697
116242,3,0,0.9968093037605286
116243,3,0,0.9969128370285034
116244,3,0,0.9968919157981873
116245,3,0,0.9968174695968628
116246,3,0,0.9969573020935059
116247,3,0,0.9968613386154175
116248,3,0,0.9968265891075134
116249,3,0,0.9969770908355713
116250,3,0,0.996751070022583
116251,3,0,0.9967283010482788
116252,3,0,0.9967945218086243
116253,3,0,0.9968152642250061
116254,3,0,0.9965211153030396
116255,3,0,0.9969229102134705
116256,3,0,0.996780514717102
116257,3,0,0.996745228767395
116258,3,0,0.9969504475593567
116259,3,0,0.9969221949577332
116260,3,0,0.9967182278633118
116261,3,0,0.9968409538269043
116262,3,0,0.9968386888504028
116263,3,0,0.9968679547309875
116264,3,0,0.9967663288116455
116265,3,0,0.9969118237495422
116266,3,0,0.9968801736831665
116267,3,0,0.9969713687896729
116268,3,0,0.9968754053115845
116269,3,0,0.9967995882034302
116270,3,0,0.9966691136360168
116271,3,0,0.9969148635864258
116272,3,0,0.9968202114105225
116273,3,0,0.99676513671875
116274,3,0,0.996604323387146
116275,3,0,0.9966039657592773
116276,3,0,0.996849000453949
116277,3,0,0.9964922070503235
116278,3,0,0.9966501593589783
116279,3,0,0.9968204498291016
116280,3,0,0.9968199729919434
116281,3,0,0.9968497157096863
116282,3,0,0.9967111349105835
116283,3,0,0.9969828724861145
116284,3,0,0.9969102740287781
116285,3,0,0.9968578815460205
116286,3,0,0.9964839220046997
116287,3,0,0.996694803237915
116288,3,0,0.9965039491653442
116289,3,0,0.9969492554664612
116290,3,0,0.9969704151153564
116291,3,0,0.9969661831855774
116292,3,0,0.9969688057899475
116293,3,0,0.9969905614852905
116294,3,0,0.9967404007911682
116295,3,0,0.9967696666717529
116296,3,0,0.9968780279159546
116297,3,0,0.9969533681869507
116298,3,0,0.9965721368789673
116299,3,0,0.9967984557151794
116300,3,0,0.9967131614685059
116301,3,0,0.9968637228012085
116302,3,0,0.9965444207191467
116303,3,0,0.9968950748443604
116304,3,0,0.996938943862915
116305,3,0,0.9968829154968262
116306,3,0,0.9967182278633118
116307,3,0,0.9967509508132935
116308,3,0,0.9969362020492554
116309,3,0,0.9968936443328857
116310,3,0,0.9968653321266174
116311,3,0,0.9968807697296143
116312,3,0,0.9966301321983337
116313,3,0,0.9968414306640625
116314,3,0,0.9966687560081482
116315,3,0,0.996887743473053
116316,3,0,0.9966533780097961
116317,3,0,0.996852695941925
116318,3,0,0.9967098236083984
116319,3,0,0.996904194355011
116320,3,0,0.996726393699646
116321,3,0,0.9969634413719177
116322,3,0,0.9967641830444336
116323,3,0,0.9969725608825684
116324,3,0,0.996736466884613
116325,3,0,0.996817946434021
116326,3,0,0.9966716766357422
116327,3,0,0.9968451261520386
116328,3,0,0.9969227910041809
116329,3,0,0.9968110918998718
116330,3,0,0.9967758059501648
116331,3,0,0.9966822266578674
116332,3,0,0.9966296553611755
116333,3,0,0.996780276298523
116334,3,0,0.9968714118003845
116335,3,0,0.9968403577804565
116336,3,0,0.9967932105064392
116337,3,0,0.996961772441864
116338,3,0,0.9966589212417603
116339,3,0,0.9967089891433716
116340,3,0,0.9965985417366028
116341,3,0,0.9967533946037292
116342,3,0,0.9967888593673706
116343,3,0,0.9966340661048889
116344,3,0,0.9969413876533508
116345,3,0,0.9968045949935913
116346,3,0,0.9966108202934265
116347,3,0,0.9969872832298279
116348,3,0,0.9966700673103333
116349,3,0,0.9969891905784607
116350,3,0,0.9968017339706421
116351,3,0,0.9965797066688538
116352,3,0,0.9968305230140686
116353,3,0,0.9969190359115601
116354,3,0,0.9967027306556702
