sample_idx,real,closest,TP,FP,precision,recall
155234,3,0,1,0,1.0,0.00025106703489831785
155372,3,2,2,0,1.0,0.0005021340697966357
157814,3,2,3,0,1.0,0.0007532011046949536
155999,3,0,4,0,1.0,0.0010042681395932714
156371,3,0,5,0,1.0,0.0012553351744915891
157148,3,0,6,0,1.0,0.001506402209389907
155470,3,0,7,0,1.0,0.0017574692442882249
157665,3,0,8,0,1.0,0.002008536279186543
154085,3,0,9,0,1.0,0.0022596033140848608
154574,3,0,10,0,1.0,0.0025106703489831783
155388,3,0,11,0,1.0,0.0027617373838814963
154930,3,0,12,0,1.0,0.003012804418779814
154463,3,0,13,0,1.0,0.003263871453678132
154681,3,0,14,0,1.0,0.0035149384885764497
154696,3,0,15,0,1.0,0.0037660055234747677
157885,3,0,16,0,1.0,0.004017072558373086
155543,3,0,17,0,1.0,0.004268139593271403
154373,3,0,18,0,1.0,0.0045192066281697215
157516,3,0,19,0,1.0,0.004770273663068039
154156,3,0,20,0,1.0,0.005021340697966357
156657,3,0,21,0,1.0,0.005272407732864675
156596,3,0,22,0,1.0,0.0055234747677629925
154109,3,0,23,0,1.0,0.005774541802661311
156881,3,0,24,0,1.0,0.006025608837559628
157981,3,0,25,0,1.0,0.006276675872457946
155121,3,0,26,0,1.0,0.006527742907356264
156503,3,0,27,0,1.0,0.006778809942254582
155303,3,0,28,0,1.0,0.007029876977152899
156841,3,0,29,0,1.0,0.007280944012051218
154424,3,0,30,0,1.0,0.007532011046949535
157576,3,0,31,0,1.0,0.007783078081847854
157934,3,0,32,0,1.0,0.008034145116746171
155331,3,0,33,0,1.0,0.008285212151644489
156370,3,0,34,0,1.0,0.008536279186542806
157308,3,0,35,0,1.0,0.008787346221441126
155135,3,0,36,0,1.0,0.009038413256339443
154774,3,0,37,0,1.0,0.00928948029123776
155264,3,0,38,0,1.0,0.009540547326136078
154356,3,0,39,0,1.0,0.009791614361034396
154998,3,0,40,0,1.0,0.010042681395932713
154982,3,0,41,0,1.0,0.010293748430831032
157476,3,0,42,0,1.0,0.01054481546572935
156739,3,0,43,0,1.0,0.010795882500627667
155194,3,0,44,0,1.0,0.011046949535525985
154896,3,0,45,0,1.0,0.011298016570424303
155858,3,0,46,0,1.0,0.011549083605322622
157683,3,0,47,0,1.0,0.01180015064022094
156615,3,0,48,0,1.0,0.012051217675119257
157507,3,0,49,0,1.0,0.012302284710017574
155565,3,0,50,0,1.0,0.012553351744915892
155253,3,0,51,0,1.0,0.012804418779814211
155034,3,0,52,0,1.0,0.013055485814712529
157805,3,0,53,0,1.0,0.013306552849610846
157188,3,0,54,0,1.0,0.013557619884509164
156622,3,0,55,0,1.0,0.013808686919407481
155895,3,0,56,0,1.0,0.014059753954305799
155147,3,0,57,0,1.0,0.014310820989204118
155430,3,0,58,0,1.0,0.014561888024102436
155499,3,0,59,0,1.0,0.014812955059000753
156300,3,0,60,0,1.0,0.01506402209389907
156778,3,0,61,0,1.0,0.015315089128797388
155995,3,0,62,0,1.0,0.015566156163695707
157253,3,0,63,0,1.0,0.015817223198594025
154749,3,0,64,0,1.0,0.016068290233492342
155989,3,0,65,0,1.0,0.01631935726839066
157722,3,0,66,0,1.0,0.016570424303288978
157851,3,0,67,0,1.0,0.016821491338187295
156080,3,0,68,0,1.0,0.017072558373085613
157431,3,0,69,0,1.0,0.01732362540798393
157643,3,0,70,0,1.0,0.01757469244288225
154952,3,0,71,0,1.0,0.01782575947778057
157728,3,0,72,0,1.0,0.018076826512678886
154319,3,0,73,0,1.0,0.018327893547577204
154887,3,0,74,0,1.0,0.01857896058247552
156724,3,0,75,0,1.0,0.01883002761737384
154434,3,0,76,0,1.0,0.019081094652272156
155106,3,0,77,0,1.0,0.019332161687170474
157353,3,0,78,0,1.0,0.01958322872206879
154363,3,0,79,0,1.0,0.01983429575696711
157285,3,0,80,0,1.0,0.020085362791865426
157763,3,0,81,0,1.0,0.020336429826763747
156920,3,0,82,0,1.0,0.020587496861662065
154623,3,0,83,0,1.0,0.020838563896560382
155802,3,0,84,0,1.0,0.0210896309314587
155391,3,0,85,0,1.0,0.021340697966357017
155332,3,0,86,0,1.0,0.021591765001255335
157429,3,0,87,0,1.0,0.021842832036153653
154632,3,0,88,0,1.0,0.02209389907105197
155984,3,0,89,0,1.0,0.022344966105950288
154266,3,0,90,0,1.0,0.022596033140848605
154241,3,0,91,0,1.0,0.022847100175746926
156817,3,0,92,0,1.0,0.023098167210645244
158009,3,0,93,0,1.0,0.02334923424554356
154621,3,0,94,0,1.0,0.02360030128044188
155313,3,0,95,0,1.0,0.023851368315340196
155093,3,0,96,0,1.0,0.024102435350238514
155579,3,0,97,0,1.0,0.02435350238513683
156140,3,0,98,0,1.0,0.02460456942003515
156623,3,0,99,0,1.0,0.024855636454933466
157667,3,0,100,0,1.0,0.025106703489831784
154466,3,0,101,0,1.0,0.0253577705247301
157895,3,0,102,0,1.0,0.025608837559628422
155353,3,0,103,0,1.0,0.02585990459452674
157785,3,0,104,0,1.0,0.026110971629425057
156331,3,0,105,0,1.0,0.026362038664323375
156664,3,0,106,0,1.0,0.026613105699221692
156774,3,0,107,0,1.0,0.02686417273412001
157150,3,0,108,0,1.0,0.027115239769018327
154256,3,0,109,0,1.0,0.027366306803916645
154137,3,0,110,0,1.0,0.027617373838814963
154215,3,0,111,0,1.0,0.02786844087371328
156760,3,0,112,0,1.0,0.028119507908611598
157578,3,0,113,0,1.0,0.02837057494350992
157434,3,0,114,0,1.0,0.028621641978408236
156877,3,0,115,0,1.0,0.028872709013306554
156483,3,0,116,0,1.0,0.02912377604820487
157281,3,0,117,0,1.0,0.02937484308310319
155138,3,0,118,0,1.0,0.029625910118001506
155938,3,0,119,0,1.0,0.029876977152899824
156391,3,0,120,0,1.0,0.03012804418779814
157174,3,0,121,0,1.0,0.03037911122269646
157079,3,0,122,0,1.0,0.030630178257594776
155425,3,0,123,0,1.0,0.030881245292493097
