sample_idx,real_label,min_dis
155234,3,6.500396251678467
155372,3,5.16535758972168
157814,3,5.163416862487793
155999,3,5.156906604766846
156371,3,5.156797885894775
157148,3,5.156635761260986
155470,3,5.156619548797607
157665,3,5.156617641448975
154085,3,5.156564712524414
154574,3,5.156361103057861
155388,3,5.156089782714844
154930,3,5.155940532684326
154463,3,5.154793739318848
154681,3,5.154348850250244
154696,3,5.154033660888672
157885,3,5.153892993927002
155543,3,5.153768062591553
154373,3,5.153758525848389
157516,3,5.153707504272461
154156,3,5.153687000274658
156657,3,5.153591632843018
156596,3,5.153457164764404
154109,3,5.153409957885742
156881,3,5.153385639190674
157981,3,5.1531782150268555
155121,3,5.153127670288086
156503,3,5.153044700622559
155303,3,5.153029918670654
156841,3,5.152942180633545
154424,3,5.152911186218262
157576,3,5.152911186218262
157934,3,5.152911186218262
155331,3,5.152803421020508
156370,3,5.152803421020508
157308,3,5.152787208557129
155135,3,5.152754306793213
154774,3,5.152738571166992
155264,3,5.152738571166992
154356,3,5.152705669403076
154998,3,5.152705669403076
154982,3,5.152689456939697
157476,3,5.152655124664307
156739,3,5.152604103088379
155194,3,5.152552127838135
154896,3,5.152515411376953
155858,3,5.152515411376953
157683,3,5.152515411376953
156615,3,5.152498245239258
157507,3,5.1524786949157715
155565,3,5.152461051940918
155253,3,5.152405261993408
155034,3,5.152386665344238
157805,3,5.152386665344238
157188,3,5.152369022369385
156622,3,5.152368545532227
155895,3,5.152348518371582
155147,3,5.152329921722412
155430,3,5.15225076675415
155499,3,5.15225076675415
156300,3,5.1522111892700195
156778,3,5.152190685272217
155995,3,5.15216064453125
157253,3,5.15216064453125
154749,3,5.152148723602295
155989,3,5.152148723602295
157722,3,5.152135372161865
157851,3,5.152127742767334
156080,3,5.152063846588135
157431,3,5.152048110961914
157643,3,5.152048110961914
154952,3,5.152043342590332
157728,3,5.152021884918213
154319,3,5.1520094871521
154887,3,5.151998996734619
156724,3,5.151995658874512
154434,3,5.151977062225342
155106,3,5.151977062225342
157353,3,5.151977062225342
154363,3,5.1519694328308105
157285,3,5.151954650878906
157763,3,5.151954650878906
156920,3,5.151943206787109
154623,3,5.151932716369629
155802,3,5.151932716369629
155391,3,5.151928901672363
155332,3,5.151909828186035
157429,3,5.151909828186035
154632,3,5.1518874168396
155984,3,5.151864528656006
154266,3,5.151859283447266
154241,3,5.151840686798096
156817,3,5.151840686798096
158009,3,5.151840686798096
154621,3,5.1518025398254395
155313,3,5.1518025398254395
155093,3,5.151793956756592
155579,3,5.151788234710693
156140,3,5.151788234710693
156623,3,5.151758670806885
157667,3,5.151758670806885
154466,3,5.15174674987793
157895,3,5.15174674987793
155353,3,5.151722431182861
157785,3,5.151699066162109
156331,3,5.151683330535889
156664,3,5.15167236328125
156774,3,5.15167236328125
157150,3,5.151668071746826
154256,3,5.151654243469238
154137,3,5.151637554168701
154215,3,5.151637554168701
156760,3,5.151637554168701
157578,3,5.151637554168701
157434,3,5.151623249053955
156877,3,5.151590824127197
156483,3,5.151573657989502
157281,3,5.151573657989502
155138,3,5.151572227478027
155938,3,5.151558876037598
156391,3,5.151546955108643
157174,3,5.151546955108643
157079,3,5.151542663574219
155425,3,5.151494026184082
157436,3,5.151494026184082
157619,3,5.151493549346924
157402,3,5.151468753814697
154320,3,5.151458740234375
155796,3,5.151458740234375
154581,3,5.1514410972595215
155676,3,5.15141487121582
155925,3,5.15141487121582
156046,3,5.15141487121582
157592,3,5.15139102935791
154420,3,5.151373863220215
155459,3,5.151360988616943
154141,3,5.1513566970825195
156493,3,5.1513566970825195
155564,3,5.1513214111328125
157309,3,5.1513214111328125
156699,3,5.151304721832275
155491,3,5.151303768157959
155636,3,5.1512861251831055
156423,3,5.1512770652771
157021,3,5.1512770652771
157802,3,5.151266574859619
155343,3,5.151248455047607
157311,3,5.151248455047607
155421,3,5.151247978210449
154831,3,5.1512298583984375
156218,3,5.1512298583984375
154512,3,5.151219367980957
155054,3,5.151192665100098
156315,3,5.151190280914307
157534,3,5.151174068450928
155444,3,5.151155471801758
157632,3,5.151155471801758
155708,3,5.1511311531066895
158002,3,5.151117324829102
155266,3,5.151078701019287
154359,3,5.151059150695801
156694,3,5.151059150695801
156730,3,5.151017665863037
154265,3,5.150998115539551
155352,3,5.150978088378906
155712,3,5.150978088378906
157204,3,5.150978088378906
154634,3,5.150956630706787
156695,3,5.150936603546143
154583,3,5.150915622711182
156278,3,5.150915622711182
156632,3,5.150915622711182
155443,3,5.150894641876221
155824,3,5.150894641876221
157094,3,5.150894641876221
156328,3,5.150873184204102
157710,3,5.150873184204102
156342,3,5.15083122253418
